,c_a,unit,scp,station,linename,division,data,time,desc,entries,exits
169,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/13/18,7:00:00,REGULAR,5646246,7721108
170,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/13/18,11:00:00,REGULAR,5646306,7721299
171,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/13/18,15:00:00,REGULAR,5646487,7721471
172,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/13/18,19:00:00,REGULAR,5646779,7721669
173,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/13/18,23:00:00,REGULAR,5646974,7721762
174,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/14/18,3:00:00,REGULAR,5647032,7721790
175,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/14/18,7:00:00,REGULAR,5647041,7721807
176,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/14/18,11:00:00,REGULAR,5647097,7721931
177,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/14/18,15:00:00,REGULAR,5647266,7722086
178,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/14/18,19:00:00,REGULAR,5647462,7722242
179,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/14/18,23:00:00,REGULAR,5647592,7722300
180,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/15/18,3:00:00,REGULAR,5647637,7722324
181,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/15/18,7:00:00,REGULAR,5647644,7722391
182,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/15/18,11:00:00,REGULAR,5647724,7722808
183,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/15/18,15:00:00,REGULAR,5647898,7723054
184,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/15/18,19:00:00,REGULAR,5648313,7723281
185,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/15/18,23:00:00,REGULAR,5648497,7723376
186,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/16/18,3:00:00,REGULAR,5648533,7723393
187,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/16/18,7:00:00,REGULAR,5648547,7723514
188,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/16/18,11:00:00,REGULAR,5648712,7724280
189,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/16/18,15:00:00,REGULAR,5648917,7724478
190,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/16/18,19:00:00,REGULAR,5649508,7724780
191,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/16/18,23:00:00,REGULAR,5649743,7724930
192,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/17/18,3:00:00,REGULAR,5649775,7724952
193,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/17/18,7:00:00,REGULAR,5649790,7725059
194,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/17/18,11:00:00,REGULAR,5649947,7725811
195,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/17/18,15:00:00,REGULAR,5650104,7726037
196,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/17/18,19:00:00,REGULAR,5650692,7726335
197,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/17/18,23:00:00,REGULAR,5650935,7726502
198,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/18/18,3:00:00,REGULAR,5650974,7726520
199,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/18/18,7:00:00,REGULAR,5650982,7726633
200,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/18/18,11:00:00,REGULAR,5651157,7727375
201,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/18/18,15:00:00,REGULAR,5651366,7727618
202,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/18/18,19:00:00,REGULAR,5651964,7727930
203,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/18/18,23:00:00,REGULAR,5652248,7728096
204,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/19/18,3:00:00,REGULAR,5652280,7728122
205,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/19/18,7:00:00,REGULAR,5652296,7728233
206,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/19/18,11:00:00,REGULAR,5652440,7728915
207,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/19/18,15:00:00,REGULAR,5652637,7729135
208,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/19/18,19:00:00,REGULAR,5653247,7729433
209,A002,R051,2/3/02,59 ST,NQR456W,BMT,1/19/18,23:00:00,REGULAR,5653506,7729567
210,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/13/18,3:00:00,REGULAR,5255011,6160582
211,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/13/18,7:00:00,REGULAR,5255018,6160608
212,A002,R051,2/3/03,59 ST,NQR456W,BMT,1/13/18,11:00:00,REGULAR,5255062,6160767
